Trait	Individuals	H2r	H2rpval	H2rSD	AGE	AGE	SEX	SEX	Kurtosis	uid	otu
iuid_102	271	0.6664631	0.0000032	0.1433556	AGE	0.3284109	SEX	0.0109264	-0.1901	uid_102	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae
iuid_1	271	0.65788	0.0000055	0.1499174	AGE	0.8699906	SEX	0.9329902	0.4402	uid_1	k__Archaea_p__Euryarchaeota
iuid_13	271	0.65788	0.0000055	0.1499174	AGE	0.8699906	SEX	0.9329902	0.4402	uid_13	k__Archaea_p__Euryarchaeota_c__Methanobacteria
iuid_34	271	0.65788	0.0000055	0.1499174	AGE	0.8699906	SEX	0.9329902	0.4402	uid_34	k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales
iuid_65	271	0.65788	0.0000055	0.1499174	AGE	0.8699906	SEX	0.9329902	0.4402	uid_65	k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae
iuid_127	271	0.65788	0.0000055	0.1499174	AGE	0.8699906	SEX	0.9329902	0.4402	uid_127	k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanobrevibacter
iuid_219	271	0.6471483	0.0000041	0.1448581	AGE	0.1302583	SEX	0.0235662	-0.1943	uid_219	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_Other
iuid_93	271	0.6371793	0.0000167	0.1497606	AGE	0.0941106	SEX	0.0095504	-0.3498	uid_93	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Christensenellaceae
iuid_206	271	0.6361679	0.0000685	0.1620596	AGE	0.3774949	SEX	0.0477127	-0.3334	uid_206	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Phascolarctobacterium
iuid_170	271	0.6331512	0.0000176	0.1496717	AGE	0.0868511	SEX	0.0124174	-0.355	uid_170	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Christensenellaceae_Other
iuid_233	271	0.6312844	0.00017	0.1655904	AGE	0.3896724	SEX	0.8017725	10.5643	uid_233	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Comamonas
iuid_71	271	0.5755863	0.0000705	0.15371	AGE	0.4659626	SEX	0.5666855	-0.1961	uid_71	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae
iuid_143	271	0.5755863	0.0000705	0.15371	AGE	0.4659626	SEX	0.5666855	-0.1961	uid_143	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides
iuid_144	271	0.5729382	0.0001721	0.1585443	AGE	0.3028269	SEX	0.0692795	-0.2001	uid_144	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides
iuid_172	271	0.5474482	0.0003658	0.1583659	AGE	6.10748E-06	SEX	0.0055186	-0.1394	uid_172	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_Other
iuid_72	271	0.5440562	0.0003132	0.1584798	AGE	0.379767	SEX	0.0876535	-0.1817	uid_72	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae
iuid_171	271	0.5424063	0.000287	0.15838	AGE	0.1144143	SEX	0.0754672	-0.601	uid_171	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Christensenellaceae_g__Christensenella
iuid_95	271	0.5359794	0.0002515	0.1553299	AGE	0.713005	SEX	0.8588863	-0.6836	uid_95	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Dehalobacteriaceae
iuid_175	271	0.5359794	0.0002515	0.1553299	AGE	0.713005	SEX	0.8588863	-0.6836	uid_175	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Dehalobacteriaceae_g__Dehalobacterium
iuid_193	271	0.5314394	0.0004091	0.1555247	AGE	0.0000466	SEX	0.1803798	-0.2761	uid_193	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_Other
iuid_100	271	0.5227738	0.000544	0.1565524	AGE	0.000065	SEX	0.144582	-0.2508	uid_100	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae
iuid_41	271	0.5121811	0.0006071	0.1552609	AGE	0.0077592	SEX	0.0009654	-0.3915	uid_41	k__Bacteria_p__Firmicutes_c__Bacilli_o__
iuid_81	271	0.5121811	0.0006071	0.1552609	AGE	0.0077592	SEX	0.0009654	-0.3915	uid_81	k__Bacteria_p__Firmicutes_c__Bacilli_o___Other
iuid_155	271	0.5121811	0.0006071	0.1552609	AGE	0.0077592	SEX	0.0009654	-0.3915	uid_155	k__Bacteria_p__Firmicutes_c__Bacilli_o___Other_Other
iuid_137	271	0.4964582	0.0009063	0.1606435	AGE	0.6522958	SEX	0.0010603	-0.2843	uid_137	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_Other
iuid_21	271	0.4895421	0.0004173	0.1493126	AGE	0.9222408	SEX	0.083336	-0.1398	uid_21	k__Bacteria_p__Firmicutes_c__Erysipelotrichi
iuid_48	271	0.4895421	0.0004173	0.1493126	AGE	0.9222408	SEX	0.083336	-0.1398	uid_48	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales
iuid_106	271	0.4895421	0.0004173	0.1493126	AGE	0.9222408	SEX	0.083336	-0.1398	uid_106	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae
iuid_200	271	0.4846516	0.0011029	0.1601106	AGE	0.0013633	SEX	0.5020967	1.9708	uid_200	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_Other
iuid_199	271	0.4815047	0.0004317	0.1488945	AGE	0.1344316	SEX	0.0109912	-0.2322	uid_199	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus
iuid_207	271	0.4739797	0.0035771	0.1720433	AGE	0.0833948	SEX	0.995778	1.6955	uid_207	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Succiniclasticum
iuid_166	271	0.4738369	0.00103	0.1550909	AGE	0.018749	SEX	0.6408839	-0.5112	uid_166	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Lactococcus
iuid_238	271	0.4594774	0.0020064	0.1612424	AGE	0.0020801	SEX	0.6420293	-0.4319	uid_238	k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__Desulfovibrio
iuid_195	271	0.4526834	0.0032008	0.1665021	AGE	0.0100829	SEX	0.6199414	-0.1088	uid_195	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_Other
iuid_205	271	0.4456279	0.0056581	0.1718213	AGE	0.2333856	SEX	0.0225837	10.7869	uid_205	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Pectinatus
iuid_92	271	0.4412764	0.0016711	0.1540782	AGE	0.0351592	SEX	0.616726	-0.2069	uid_92	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_Other
iuid_169	271	0.4412764	0.0016711	0.1540782	AGE	0.0351592	SEX	0.616726	-0.2069	uid_169	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_Other_Other
iuid_183	271	0.4379307	0.0047931	0.169943	AGE	0.3413811	SEX	0.081975	-0.3066	uid_183	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea
iuid_138	271	0.42721	0.0030724	0.158863	AGE	0.035339	SEX	0.1920441	-0.4312	uid_138	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Adlercreutzia
iuid_151	271	0.4239845	0.0062291	0.1689813	AGE	0.1854797	SEX	0.8081856	-0.4812	uid_151	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Odoribacteraceae._g__Odoribacter
iuid_196	271	0.4107142	0.0022611	0.1469963	AGE	0.6352879	SEX	0.1708693	-0.5449	uid_196	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Anaerotruncus
iuid_25	271	0.4089031	0.0035811	0.156811	AGE	0.0484005	SEX	0.0221833	-0.1543	uid_25	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria
iuid_52	271	0.4074331	0.0036905	0.1568472	AGE	0.0484679	SEX	0.0220017	-0.1541	uid_52	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales
iuid_222	271	0.4040334	0.0065173	0.1551756	AGE	0.3018162	SEX	0.4309009	3.0577	uid_222	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Catenibacterium
iuid_7	271	0.4019066	0.008396	0.1694088	AGE	0.7201072	SEX	0.2043594	1.9321	uid_7	k__Bacteria_p__Lentisphaerae
iuid_23	271	0.4019066	0.008396	0.1694088	AGE	0.7201072	SEX	0.2043594	1.9321	uid_23	k__Bacteria_p__Lentisphaerae_c__.Lentisphaeria.
iuid_50	271	0.4019066	0.008396	0.1694088	AGE	0.7201072	SEX	0.2043594	1.9321	uid_50	k__Bacteria_p__Lentisphaerae_c__.Lentisphaeria._o__Victivallales
iuid_108	271	0.4019066	0.008396	0.1694088	AGE	0.7201072	SEX	0.2043594	1.9321	uid_108	k__Bacteria_p__Lentisphaerae_c__.Lentisphaeria._o__Victivallales_f__Victivallaceae
iuid_228	271	0.4019066	0.008396	0.1694088	AGE	0.7201072	SEX	0.2043594	1.9321	uid_228	k__Bacteria_p__Lentisphaerae_c__.Lentisphaeria._o__Victivallales_f__Victivallaceae_Other
iuid_142	271	0.3971395	0.0099478	0.1689945	AGE	0.7577836	SEX	0.1197273	0.6936	uid_142	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Slackia
iuid_111	271	0.3963902	0.0044071	0.1561766	AGE	0.0512743	SEX	0.0191736	-0.1695	uid_111	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Alcaligenaceae
iuid_231	271	0.3963902	0.0044071	0.1561766	AGE	0.0512743	SEX	0.0191736	-0.1695	uid_231	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Alcaligenaceae_g__Sutterella
iuid_203	271	0.3900673	0.009328	0.1616164	AGE	0.808489	SEX	0.1846886	-0.6049	uid_203	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Megamonas
iuid_189	271	0.3665188	0.0099366	0.159625	AGE	0.5457567	SEX	0.7947066	-0.1961	uid_189	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__.Ruminococcus.
iuid_73	271	0.3650258	0.0101102	0.1598751	AGE	0.5639365	SEX	0.3854423	-0.1961	uid_73	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Prevotellaceae
iuid_146	271	0.3650258	0.0101102	0.1598751	AGE	0.5639365	SEX	0.3854423	-0.1961	uid_146	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Prevotellaceae_g__Prevotella
iuid_94	271	0.3530552	0.0241918	0.1747198	AGE	0.0157502	SEX	0.016873	-0.0712	uid_94	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae
iuid_78	271	0.351303	0.0219066	0.1736275	AGE	0.3166624	SEX	0.0535627	-0.5737	uid_78	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Paraprevotellaceae.
iuid_152	271	0.351303	0.0219066	0.1736275	AGE	0.3166624	SEX	0.0535627	-0.5737	uid_152	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Paraprevotellaceae._g__Paraprevotella
iuid_112	271	0.347293	0.0232995	0.1718771	AGE	0.2538865	SEX	0.9626236	4.8794	uid_112	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae
iuid_77	271	0.3431421	0.0204671	0.1693977	AGE	0.0650797	SEX	0.4886226	-0.5266	uid_77	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Odoribacteraceae.
iuid_101	271	0.3429557	0.01709	0.1648854	AGE	0.0048804	SEX	0.1657553	-0.2253	uid_101	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae
iuid_226	271	0.3379856	0.0068503	0.1415144	AGE	0.6167711	SEX	0.0192028	-0.6328	uid_226	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__cc_115
iuid_103	271	0.3344671	0.0200249	0.1631956	AGE	0.1114299	SEX	0.0035251	-0.3932	uid_103	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Mogibacteriaceae.
iuid_209	271	0.3335606	0.0197889	0.1625765	AGE	0.1273035	SEX	0.0059971	-0.3878	uid_209	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Mogibacteriaceae._Other
iuid_16	271	0.3296399	0.0138504	0.1558179	AGE	0.2268993	SEX	0.06807	-0.1394	uid_16	k__Bacteria_p__Bacteroidetes_c__Bacteroidia
iuid_38	271	0.3296399	0.0138504	0.1558179	AGE	0.2268993	SEX	0.06807	-0.1394	uid_38	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales
iuid_3	271	0.3295841	0.0138624	0.1558166	AGE	0.226704	SEX	0.0680656	-0.1394	uid_3	k__Bacteria_p__Bacteroidetes
iuid_75	271	0.3293004	0.013311	0.1527539	AGE	0.0880839	SEX	0.7906885	0.067	uid_75	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__S24.7
iuid_148	271	0.3293004	0.013311	0.1527539	AGE	0.0880839	SEX	0.7906885	0.067	uid_148	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__S24.7_Other
iuid_4	271	0.3242116	0.0272357	0.1717006	AGE	0.1239533	SEX	0.0951363	0.5553	uid_4	k__Bacteria_p__Cyanobacteria
iuid_18	271	0.3242116	0.0272357	0.1717006	AGE	0.1239533	SEX	0.0951363	0.5553	uid_18	k__Bacteria_p__Cyanobacteria_c__4C0d.2
iuid_40	271	0.3242116	0.0272357	0.1717006	AGE	0.1239533	SEX	0.0951363	0.5553	uid_40	k__Bacteria_p__Cyanobacteria_c__4C0d.2_o__YS2
iuid_80	271	0.3242116	0.0272357	0.1717006	AGE	0.1239533	SEX	0.0951363	0.5553	uid_80	k__Bacteria_p__Cyanobacteria_c__4C0d.2_o__YS2_Other
iuid_154	271	0.3242116	0.0272357	0.1717006	AGE	0.1239533	SEX	0.0951363	0.5553	uid_154	k__Bacteria_p__Cyanobacteria_c__4C0d.2_o__YS2_Other_Other
iuid_26	271	0.3240168	0.0180384	0.1595704	AGE	0.1772614	SEX	0.8534263	-0.4095	uid_26	k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria
iuid_54	271	0.3240168	0.0180384	0.1595704	AGE	0.1772614	SEX	0.8534263	-0.4095	uid_54	k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales
iuid_115	271	0.3240168	0.0180384	0.1595704	AGE	0.1772614	SEX	0.8534263	-0.4095	uid_115	k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae
iuid_76	271	0.3155942	0.0260862	0.1649286	AGE	0.7820145	SEX	0.0291564	-0.5245	uid_76	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Barnesiellaceae.
iuid_149	271	0.3155942	0.0260862	0.1649286	AGE	0.7820145	SEX	0.0291564	-0.5245	uid_149	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Barnesiellaceae._Other
iuid_177	271	0.308836	0.020567	0.1553119	AGE	0.358547	SEX	0.0214863	-0.5251	uid_177	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Anaerofustis
iuid_12	271	0.304979	0.0229539	0.1559598	AGE	0.8485358	SEX	0.0044491	-0.2879	uid_12	k__Bacteria_p__Verrucomicrobia
iuid_33	271	0.304979	0.0229539	0.1559598	AGE	0.8485358	SEX	0.0044491	-0.2879	uid_33	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae
iuid_64	271	0.304979	0.0229539	0.1559598	AGE	0.8485358	SEX	0.0044491	-0.2879	uid_64	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales
iuid_126	271	0.304979	0.0229539	0.1559598	AGE	0.8485358	SEX	0.0044491	-0.2879	uid_126	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Verrucomicrobiaceae
