gid_16s,G63245,G63278,G63282,G63283,G63284,G63291,G63298,G63323,G63328,G63341,G63347,G63353,G63355,G63361,G63378,G63384,G63394,G64452,G64561,G64562,G64565,G64567,G64570,G64602,G64608,G64613,G64619,G64621,G64623,G64642,G64644,G64645,G64648,G64650,G64662,G64695,G64698,G64709,G64715,G64718,G64755,G64764,G64788,G64794,G64801,G64803,G64805,G64830,G64838,G64843,G64877,G64881,G64886,G64927,G64942,G64948,G64999,G65360,G65372,G65409,G65471,G65513,G65518,G65862,G65872,G65908,G66033,G66037,G66064,G66079,G66083,G66086,G66087,G66101,G66106,G66128,G66130,G66131,G66139,G66224,G66244,G66274,G66297,G66390,G66466,G66736,G66783,G66868,G67075,G67092,G67097,G67104,G67123,G67124,G67129,G67140,G67144,G72793,G72804,G72820,G72823,G72844,G72853,G72873,G72880,G72882,G72885,G73574,G73579,G73588,G73597,G73602,G73632,G73634,G73650,G73655,G73658,G73701,G73713,G73723,G73732,G73742,G73786,G73789,G73790,G73793,G73809,G73826,G73859,G73890,G73896,G73931,G74004,G74041,G74047,G74079,G74092,G74095,G74102,G75551,G75614,G75710,G75715,G75718,G75725,G75745,G75747,G75750,G75756,G75798,G75807,G75810,G75811,G75817,G75821,G75825,G75842,G75846,G75872,G75874,G75882,G76375,G76389,G76392,G76393,G76394,G76397,G76401,G76403,G76405,G76411,G76416,G76423,G76426,G76430,G76431,G76434,G76437,G76438,G76439,G76452,G76453,G76457,G76460,G76463,G76464,G76465,G76466,G76469,G76470,G76471,G76472,G76474,G76479,G76486,G76487,G76489,G76492,G76494
allergy,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1
D_0__Archaea.D_1__Euryarchaeota.D_2__Methanobacteria.D_3__Methanobacteriales.D_4__Methanobacteriaceae.D_5__Methanobrevibacter,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.032110092,0.004587156,0.041284404,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.027522936,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156,0.004587156
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Actinomycetales.D_4__Actinomycetaceae.D_5__Actinomyces,0.000161499,0.045704134,0.001614987,0.000161499,0.000161499,0.000161499,0.000161499,0.002745478,0.000161499,0.000161499,0.002260982,0.005975452,0.000161499,0.000161499,0.017118863,0.007105943,0.003229974,0.013404393,0.000161499,0.000161499,0.019218346,0.003229974,0.001776486,0.000161499,0.003552972,0.000161499,0.000161499,0.000161499,0.013888889,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.086886305,0.000161499,0.002906977,0.002583979,0.005813953,0.00500646,0.000161499,0.000161499,0.000161499,0.000161499,0.001937984,0.000161499,0.000161499,0.002583979,0.000161499,0.004844961,0.000161499,0.000161499,0.009366925,0.020187339,0.000161499,0.000161499,0.000161499,0.000807494,0.059270026,0.001776486,0.000161499,0.004198966,0.027939276,0.000161499,0.030523256,0.007751938,0.003552972,0.127099483,0.001937984,0.006459948,0.000161499,0.00500646,0.000161499,0.000645995,0.000161499,0.000161499,0.000161499,0.004683463,0.000161499,0.002422481,0.061046512,0.000161499,0.019218346,0.000161499,0.000161499,0.01130491,0.051356589,0.003068475,0.013565891,0.010335917,0.000161499,0.005813953,0.00129199,0.00500646,0.000161499,0.002583979,0.000161499,0.085917313,0.001937984,0.030846253,0.00129199,0.000968992,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.003391473,0.020348837,0.011789406,0.000161499,0.001130491,0.000161499,0.011789406,0.000161499,0.000161499,0.000161499,0.002906977,0.002745478,0.000161499,0.000161499,0.002745478,0.000161499,0.002260982,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.023901809,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.003229974,0.000161499,0.000161499,0.000807494,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.015988372,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.002422481,0.000161499,0.000161499,0.000161499,0.000161499,0.000161499,0.001130491,0.000161499,0.000161499,0.000161499
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Actinomycetales.D_4__Actinomycetaceae.D_5__Actinotignum,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.328813559,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831,0.003389831
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Actinomycetales.D_4__Actinomycetaceae.D_5__Flaviflexus,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.01980198,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Actinomycetales.D_4__Actinomycetaceae.D_5__Varibaculum,0.000625,0.063125,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.009375,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.445625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.005,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.183125,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.00375,0.000625,0.000625,0.000625,0.000625,0.0225,0.055625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.06875,0.000625,0.001875,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.02375,0.000625,0.000625,0.000625,0.000625
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Bifidobacteriales.D_4__Bifidobacteriaceae.D_5__Alloscardovia,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.032407407,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.055555556,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963,0.00462963
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Bifidobacteriales.D_4__Bifidobacteriaceae.D_5__Bifidobacterium,0.000256649,0.017439854,0.014248825,0.002949271,6.13E-05,0.019210117,0.00060965,0.00472041,0.002000634,0.000333731,0.019232892,0.007446318,0.002148667,0.001090538,0.019731298,0.000564102,0.002062826,0.005103194,4.29E-05,4.38E-06,0.007183538,0.012378705,0.004347262,0.000317964,0.000335483,0.000507166,0.000213728,0.001147474,0.006073729,0.012068624,0.001662523,0.003315412,0.004288575,0.001531133,0.000671842,0.00272328,0.008959057,0.002070709,0.001164117,0.014265468,1.49E-05,0.002985184,8.76E-07,0.012892878,0.004226383,0.004985819,0.002331737,0.008827667,0.006281326,0.004388431,0.000617534,0.002011145,0.004013531,0.000414317,0.010294857,1.84E-05,0.000316212,0.025925906,0.013698738,0.000466873,0.00261554,0.002604153,0.003943457,0.000247889,0.0007498,0.004642452,0.017097364,0.019753197,0.000434463,0.036750704,0.010999984,0.017162183,0.059473318,0.014690296,0.015961277,0.000207596,0.015209725,8.23E-05,0.000641184,0.002640066,0.000645564,0.0155382,0.003869002,8.76E-07,0.061933818,0.003708706,3.42E-05,0.00830999,0.000343366,0.001430401,0.012002053,0.011683213,0.017724533,0.017972422,0.004582889,0.023863081,0.001130831,9.64E-05,0.011401162,0.017989065,0.006742943,0.006545858,0.009825356,0.004144046,0.005170641,0.012967333,0.007361353,0.002087352,0.003082413,0.002205603,0.00516013,0.001793914,0.00633213,0.000898709,0.003350449,0.004212369,0.004043313,0.000852284,0.002331737,0.001153606,0.00226867,0.0067263,0.011845261,0.006957547,0.005921317,0.013590998,0.001937567,0.004113388,0.000680601,0.000439719,0.000808487,0.008664743,0.001691429,0.000110368,0.000610526,0.000723522,8.76E-07,0.0005387,8.76E-07,0.000205845,8.76E-07,8.76E-07,0.013435958,0.000736661,0.003036865,0.008498316,0.001134335,0.000306577,0.001511863,0.000575489,0.006558997,8.76E-07,8.76E-07,8.76E-07,0.00561036,0.005850366,0.00090922,0.000113871,0.000283803,8.76E-07,0.0013831,0.000469501,0.000285555,0.001539893,0.000166428,8.15E-05,0.000309205,0.003673669,9.72E-05,0.000372272,0.004610919,0.000284679,2.80E-05,0.001118568,0.000503662,0.000998565,8.76E-07,0.00144354,9.99E-05,1.31E-05,0.005069032,0.002529699,0.000594759,5.26E-05,0.000838269,8.76E-07,0.001614347,8.76E-07,8.76E-07,8.76E-07,0.000797976,8.76E-07,0.005556052,0.000553591,0.000391543,0.002069833,0.001857857,0.004473397,8.76E-05
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Bifidobacteriales.D_4__Bifidobacteriaceae.D_5__Scardovia,0.004504505,0.108108108,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505,0.004504505
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Corynebacteriales.D_4__Corynebacteriaceae.D_5__Corynebacterium,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.012605042,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.12605042,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.037815126,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681,0.004201681
